device_id,ts,bat,acc1,acc2,acc3,acc4,acc5,wei,tmp1,tmp2,tmp3,lat,lon,ts_gps,checksum
f7f7f7f7,1544692435,4021,600,0,0,0,0,,374,377,359,0,0,0,db
f5f5f5f5,1544693434,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,4a
f2f2f2f2,1544693325,3976,600,0,0,0,0,1.3242270487869521e-42,331,328,293,3449.443603515625,7117.240234375,1544704589,4f
f6f6f6f6,1544694166,4066,600,0,0,0,0,4.543009621341057e-42,230,204,189,3449.38330078125,7117.2841796875,1544704584,c3
f3f3f3f3,1544693627,3880,600,0,0,0,0,4.358038224050181e-42,252,237,228,3449.393798828125,7117.2939453125,1544704590,71
f4f4f4f4,1544690268,4079,600,0,0,0,0,,300,297,291,3449.429443359375,7117.236328125,1544704605,61
f5f5f5f5,1544693472,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,16
f2f2f2f2,1544693364,3976,600,0,0,0,0,1.1504660392106748e-42,330,326,294,3449.44189453125,7117.2412109375,1544704624,ca
f6f6f6f6,1544694205,4066,600,0,0,0,0,4.541608322876732e-42,230,204,189,3449.37890625,7117.2841796875,1544704622,ff
f3f3f3f3,1544693666,3880,600,0,0,0,0,4.349630433264232e-42,252,237,228,3449.400390625,7117.30859375,1544704629,92
f4f4f4f4,1544690307,4079,600,0,0,0,0,,298,296,291,3449.427734375,7117.23779296875,1544704645,64
f5f5f5f5,1544693511,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,f4
f7f7f7f7,1544692513,4028,600,0,0,0,0,,374,377,359,0,0,0,22
f2f2f2f2,1544693402,3976,600,0,0,0,0,1.14906474074635e-42,330,325,294,3449.444091796875,7117.2421875,1544704667,da
f6f6f6f6,1544694244,4066,600,0,0,0,0,4.534601830555108e-42,230,204,190,3449.38720703125,7117.27978515625,1544704661,a
f3f3f3f3,1544693706,3873,600,0,0,0,0,4.3398213440139585e-42,253,237,228,3449.380126953125,7117.236328125,1544704670,c2
f4f4f4f4,1544690347,4079,600,0,0,0,0,,296,295,290,3449.421875,7117.23681640625,1544704684,72
f5f5f5f5,1544693550,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,d4
f7f7f7f7,1544692553,4041,600,0,0,0,0,,374,377,359,0,0,0,4
f2f2f2f2,1544693441,3976,600,0,0,0,0,1.14906474074635e-42,321,321,293,3449.4521484375,7117.24072265625,1544704702,92
f3f3f3f3,1544693745,3873,600,0,0,0,0,5.165186139501276e-42,252,236,228,3449.398681640625,7117.306640625,1544704707,3e
f5f5f5f5,1544693588,4034,600,0,0,0,0,,337,345,341,0,0,1544699587,af
